company_ticker,event_date
NLSN,7/20/2012
NLSN,10/23/2012
NLSN,2/12/2013
NLSN,4/26/2013
NLSN,7/31/2013
NLSN,10/24/2013
NLSN,2/14/2014
NLSN,4/25/2014
NLSN,7/30/2014
NLSN,10/24/2014
NLSN,2/13/2015
NLSN,4/23/2015
NLSN,7/29/2015
NLSN,10/22/2015
NLSN,2/12/2016
NLSN,4/21/2016
NLSN,7/27/2016
NLSN,10/26/2016
NLSN,2/10/2017
NLSN,4/26/2017
NLSN,7/28/2017
NLSN,10/26/2017
NLSN,3/01/2019
NLSN,5/01/2019
NLSN,8/01/2019
NLSN,11/08/2019
NLSN,5/01/2020
NLSN,8/06/2020
NLSN,11/03/2020
NOC,2/05/2010
NOC,4/29/2010
NOC,7/30/2010
NOC,10/28/2010
NOC,2/10/2011
NOC,4/28/2011
NOC,7/28/2011
NOC,10/27/2011
NOC,2/02/2012
NOC,4/26/2012
NOC,7/26/2012
NOC,10/25/2012
NOC,1/31/2013
NOC,4/25/2013
NOC,7/25/2013
NOC,10/24/2013
NOC,1/31/2014
NOC,4/24/2014
NOC,7/24/2014
NOC,10/23/2014
NOC,1/30/2015
NOC,4/30/2015
NOC,7/30/2015
NOC,10/29/2015
NOC,1/29/2016
NOC,4/28/2016
NOC,7/28/2016
NOC,10/27/2016
NOC,1/27/2017
NOC,4/27/2017
NOC,7/27/2017
NOC,10/26/2017
NOC,4/26/2018
NOC,2/01/2019
NOC,4/25/2019
NOC,7/25/2019
NOC,10/25/2019
NOC,1/31/2020
NOC,4/30/2020
NOC,7/31/2020
NOC,10/23/2020
NOV,2/04/2010
NOV,4/28/2010
NOV,7/30/2010
NOV,10/27/2010
NOV,2/04/2011
NOV,4/28/2011
NOV,7/27/2011
NOV,10/26/2011
NOV,2/03/2012
NOV,7/27/2012
NOV,10/26/2012
NOV,7/31/2013
NOV,4/29/2014
NOV,7/30/2014
NOV,10/31/2014
NOV,2/04/2015
NOV,4/29/2015
NOV,7/29/2015
NOV,10/29/2015
NOV,2/04/2016
NOV,4/29/2016
NOV,7/29/2016
NOV,10/28/2016
NOV,2/08/2017
NOV,4/28/2017
NOV,2/08/2019
NOV,7/31/2019
NOV,10/30/2019
NOV,4/29/2020
NOV,7/29/2020
NOV,10/28/2020
NOW,1/31/2013
NOW,4/25/2013
NOW,8/01/2013
NOW,10/24/2013
NOW,1/30/2014
NOW,4/24/2014
NOW,7/31/2014
NOW,10/23/2014
NOW,1/29/2015
NOW,4/17/2015
NOW,7/30/2015
NOW,10/22/2015
NOW,1/28/2016
NOW,4/21/2016
NOW,7/28/2016
NOW,10/27/2016
NOW,1/26/2017
NOW,4/27/2017
NOW,7/27/2017
NOW,10/26/2017
NOW,4/26/2018
NOW,1/31/2019
NOW,4/25/2019
NOW,7/25/2019
NOW,10/24/2019
NOW,1/30/2020
NOW,4/30/2020
NOW,7/30/2020
NOW,10/29/2020
NWL,1/28/2011
NWL,8/01/2014
NWL,2/07/2017
NWL,5/09/2017
NWL,11/03/2017
OMC,2/11/2010
OMC,4/21/2010
OMC,7/21/2010
OMC,10/20/2010
OMC,2/16/2011
OMC,4/20/2011
OMC,7/20/2011
OMC,10/19/2011
OMC,2/15/2012
OMC,4/18/2012
OMC,7/18/2012
OMC,10/17/2012
OMC,2/13/2013
OMC,4/19/2013
OMC,7/19/2013
OMC,10/16/2013
OMC,2/12/2014
OMC,4/23/2014
OMC,7/23/2014
OMC,10/22/2014
OMC,2/11/2015
OMC,4/22/2015
OMC,7/22/2015
OMC,10/21/2015
OMC,2/10/2016
OMC,4/20/2016
OMC,7/15/2016
OMC,10/19/2016
OMC,2/08/2017
OMC,4/19/2017
OMC,7/21/2017
OMC,10/18/2017
OMC,4/18/2018
OMC,2/13/2019
OMC,4/17/2019
OMC,7/18/2019
OMC,10/16/2019
OMC,2/12/2020
OMC,4/29/2020
OMC,7/29/2020
OMC,10/28/2020
ORCL,3/26/2010
ORCL,6/25/2010
ORCL,9/17/2010
ORCL,12/17/2010
ORCL,3/25/2011
ORCL,6/24/2011
ORCL,9/21/2011
ORCL,12/21/2011
ORCL,3/21/2012
ORCL,5/10/2012
ORCL,8/07/2012
ORCL,11/06/2012
ORCL,2/21/2013
ORCL,5/07/2013
ORCL,8/06/2013
ORCL,11/06/2013
ORCL,3/19/2014
ORCL,6/20/2014
ORCL,9/19/2014
ORCL,12/18/2014
ORCL,3/18/2015
ORCL,6/18/2015
ORCL,9/17/2015
ORCL,12/17/2015
ORCL,3/16/2016
ORCL,6/17/2016
ORCL,9/16/2016
ORCL,12/16/2016
ORCL,3/16/2017
ORCL,6/22/2017
ORCL,9/15/2017
ORCL,12/15/2017
ORCL,3/15/2019
ORCL,6/20/2019
ORCL,9/12/2019
ORCL,12/13/2019
ORCL,3/13/2020
ORCL,6/17/2020
ORCL,9/11/2020
OXY,5/07/2019
OXY,8/12/2020
OXY,11/11/2020
PAYC,2/06/2020
PAYC,4/29/2020
PAYC,8/05/2020
PAYC,11/05/2020
PCL,2/02/2010
PCL,4/27/2010
PCL,7/27/2010
PCL,10/26/2010
PCL,2/01/2011
PCL,4/29/2014
PCL,7/29/2014
PCL,10/28/2014
PCL,1/27/2015
PCL,4/28/2015
PCL,7/28/2015
PCL,10/27/2015
PFE,2/04/2010
PFE,5/05/2010
PFE,8/04/2010
PFE,11/03/2010
PFE,2/02/2011
PFE,5/04/2011
PFE,8/03/2011
PFE,11/02/2011
PFE,2/01/2012
PFE,5/02/2012
PFE,8/01/2012
PFE,11/02/2012
PFE,1/30/2013
PFE,5/01/2013
PFE,7/31/2013
PFE,10/30/2013
PFE,1/29/2014
PFE,5/06/2014
PFE,7/30/2014
PFE,10/29/2014
PFE,1/28/2015
PFE,4/29/2015
PFE,7/29/2015
PFE,10/28/2015
PFE,2/03/2016
PFE,5/04/2016
PFE,8/03/2016
PFE,11/02/2016
PFE,2/01/2017
PFE,5/03/2017
PFE,8/02/2017
PFE,11/01/2017
PFE,1/30/2019
PFE,5/01/2019
PFE,7/30/2019
PFE,10/30/2019
PFE,1/29/2020
PFE,4/29/2020
PFE,7/29/2020
PFE,10/28/2020
PKG,1/27/2010
PKG,4/21/2010
PKG,7/21/2010
PKG,10/20/2010
PKG,1/26/2011
PKG,4/20/2011
PKG,7/20/2011
PKG,10/19/2011
PKG,1/25/2012
PKG,4/19/2012
PKG,7/18/2012
PKG,10/17/2012
PKG,1/23/2013
PKG,4/24/2013
PKG,7/18/2013
PKG,10/16/2013
PKG,2/13/2014
PKG,4/24/2014
PKG,7/23/2014
PKG,10/22/2014
PKG,1/28/2015
PKG,4/22/2015
PKG,7/23/2015
PKG,10/22/2015
PKG,1/27/2016
PKG,4/22/2016
